LEA_Code,LEA_Name,School_Code,School_Name,School_Type,Ward,School_Framework,Framework_Weight,Framework_Points_Earned,Framework_Points_Possible,Framework_STAR_Score,Framework_STAR_Rating,ObjectId
135,Meridian PCS,165,Meridian PCS,Charter,1,Elementary School with Pre-Kindergarten,62.17,53.79,100,53.79,3,108
1,District of Columbia Public Schools,336,West Education Campus,DCPS,4,Middle School,37.35,53.28,100,53.28,3,109
1,District of Columbia Public Schools,338,Whittier Education Campus,DCPS,4,Elementary School with Pre-Kindergarten,61.95,44.11,100,44.11,3,110
1,District of Columbia Public Schools,338,Whittier Education Campus,DCPS,4,Middle School,38.05,45.11,95,47.48,3,111
1,District of Columbia Public Schools,339,J.O. Wilson Elementary School,DCPS,6,Elementary School with Pre-Kindergarten,100,56.29,95,59.25,3,112
1,District of Columbia Public Schools,344,King Elementary School,DCPS,8,Elementary School with Pre-Kindergarten,100,24.17,95,25.44,2,113
1,District of Columbia Public Schools,231,Drew Elementary School,DCPS,7,Elementary School with Pre-Kindergarten,100,29.19,95,30.73,2,114
1,District of Columbia Public Schools,347,Brookland Middle School,DCPS,5,Middle School,100,18.56,100,18.56,1,115
1,District of Columbia Public Schools,349,Dorothy I. Height Elementary School,DCPS,4,Elementary School with Pre-Kindergarten,100,59.19,100,59.19,3,116
1,District of Columbia Public Schools,360,Capitol Hill Montessori School @ Logan,DCPS,6,Elementary School with Pre-Kindergarten,71.94,37.41,85,44.02,3,117
155,Achievement Preparatory Academy PCS,1100,Achievement Preparatory Academy PCS - Wahler Place Middle School,Charter,8,Elementary School without Pre-Kindergarten,41.58,19.62,95,20.65,2,118
1,District of Columbia Public Schools,360,Capitol Hill Montessori School @ Logan,DCPS,6,Middle School,28.06,68.68,85,80.8,5,119
1,District of Columbia Public Schools,232,Eaton Elementary School,DCPS,3,Elementary School with Pre-Kindergarten,100,88.24,100,88.24,5,120
1,District of Columbia Public Schools,370,Langley Elementary School,DCPS,5,Elementary School with Pre-Kindergarten,100,13.55,95,14.26,1,121
155,Achievement Preparatory Academy PCS,1100,Achievement Preparatory Academy PCS - Wahler Place Middle School,Charter,8,Middle School,58.42,40.81,95,42.96,3,122
1,District of Columbia Public Schools,238,Garfield Elementary School,DCPS,8,Elementary School with Pre-Kindergarten,100,30.49,95,32.1,2,123
1,District of Columbia Public Schools,402,Benjamin Banneker High School,DCPS,1,High School,100,84.16,85,99.01,5,124
1,District of Columbia Public Schools,404,Browne Education Campus,DCPS,5,Elementary School with Pre-Kindergarten,54.42,26.64,100,26.64,2,125
1,District of Columbia Public Schools,404,Browne Education Campus,DCPS,5,Middle School,45.58,38.1,95,40.11,3,126
1,District of Columbia Public Schools,405,Deal Middle School,DCPS,3,Middle School,100,88.22,100,88.22,5,127
1,District of Columbia Public Schools,407,Eliot-Hine Middle School,DCPS,6,Middle School,100,7.06,95,7.43,1,128
1,District of Columbia Public Schools,409,School Without Walls @ Francis-Stevens,DCPS,2,Elementary School with Pre-Kindergarten,48.73,48.04,100,48.04,3,129
1,District of Columbia Public Schools,409,School Without Walls @ Francis-Stevens,DCPS,2,Middle School,51.27,68.04,100,68.04,4,130
1,District of Columbia Public Schools,413,Hart Middle School,DCPS,8,Middle School,100,19.79,95,20.83,2,131
1,District of Columbia Public Schools,416,Johnson Middle School,DCPS,8,Middle School,100,19.96,95,21.01,2,132
1,District of Columbia Public Schools,417,Kramer Middle School,DCPS,8,Middle School,100,5.44,95,5.72,1,133
1,District of Columbia Public Schools,420,MacFarland Middle School,DCPS,4,Middle School,100,55.13,100,55.13,3,134
1,District of Columbia Public Schools,421,Kelly Miller Middle School,DCPS,7,Middle School,100,19.43,95,20.45,2,135
1,District of Columbia Public Schools,427,Sousa Middle School,DCPS,7,Middle School,100,11.72,95,12.33,1,136
1,District of Columbia Public Schools,428,Stuart-Hobson Middle School (Capitol Hill Cluster),DCPS,6,Middle School,100,50.85,95,53.53,3,137
1,District of Columbia Public Schools,433,Jefferson Middle School Academy,DCPS,6,Middle School,100,44.16,95,46.49,3,138
1,District of Columbia Public Schools,435,McKinley Middle School,DCPS,5,Middle School,100,24.92,95,26.23,2,139
1,District of Columbia Public Schools,436,Ron Brown College Preparatory High School,DCPS,7,High School,100,25.14,85,29.57,2,140
1,District of Columbia Public Schools,442,Columbia Heights Education Campus,DCPS,1,High School,62.42,55.78,100,55.78,3,141
1,District of Columbia Public Schools,442,Columbia Heights Education Campus,DCPS,1,Middle School,37.58,63.26,100,63.26,4,142
1,District of Columbia Public Schools,450,Anacostia High School,DCPS,8,High School,100,2.71,95,2.85,1,143
1,District of Columbia Public Schools,452,Ballou High School,DCPS,8,High School,100,4.41,95,4.65,1,144
1,District of Columbia Public Schools,454,Cardozo Education Campus,DCPS,1,High School,71.07,17.44,100,17.44,1,145
1,District of Columbia Public Schools,454,Cardozo Education Campus,DCPS,1,Middle School,28.93,9.43,100,9.43,1,146
1,District of Columbia Public Schools,455,Coolidge High School,DCPS,4,High School,100,13.24,100,13.24,1,147
1,District of Columbia Public Schools,456,Roosevelt STAY High School,DCPS (Alternative),4,Alternative Framework,100,16.13,76.28,21.15,2,148
1,District of Columbia Public Schools,457,Eastern High School,DCPS,6,High School,100,30.08,95,31.67,2,149
1,District of Columbia Public Schools,458,McKinley Technology High School,DCPS,5,High School,100,72.62,85,85.43,5,150
1,District of Columbia Public Schools,459,Roosevelt High School,DCPS,4,High School,100,10.62,100,10.62,1,151
1,District of Columbia Public Schools,463,Woodrow Wilson High School,DCPS,3,High School,100,74.46,100,74.46,4,152
1,District of Columbia Public Schools,464,H.D. Woodson High School,DCPS,7,High School,100,23.32,95,24.54,2,153
1,District of Columbia Public Schools,466,School Without Walls High School,DCPS,2,High School,100,83.78,85,98.56,5,154
1,District of Columbia Public Schools,467,Dunbar High School,DCPS,5,High School,100,25.24,95,26.57,2,155
1,District of Columbia Public Schools,471,Duke Ellington School of the Arts,DCPS,2,High School,100,69.03,95,72.66,4,156
1,District of Columbia Public Schools,474,Washington Metropolitan High School,DCPS (Alternative),1,Alternative Framework,100,16.17,64.98,24.88,2,157
1,District of Columbia Public Schools,478,"Phelps Architecture, Construction and Engineering High School",DCPS,5,High School,100,38,85,44.7,3,158
1,District of Columbia Public Schools,884,Luke C. Moore High School,DCPS (Alternative),5,Alternative Framework,100,22.27,75.03,29.69,2,159
1,District of Columbia Public Schools,239,Garrison Elementary School,DCPS,2,Elementary School with Pre-Kindergarten,100,57.94,100,57.94,3,160
1,District of Columbia Public Schools,246,Hardy Middle School,DCPS,2,Middle School,100,82.74,100,82.74,5,161
1,District of Columbia Public Schools,247,C.W. Harris Elementary School,DCPS,7,Elementary School with Pre-Kindergarten,100,17.66,95,18.59,1,162
1,District of Columbia Public Schools,249,Hendley Elementary School,DCPS,8,Elementary School with Pre-Kindergarten,100,26.09,95,27.46,2,163
1,District of Columbia Public Schools,251,Houston Elementary School,DCPS,7,Elementary School with Pre-Kindergarten,100,28.5,95,30,2,164
155,Achievement Preparatory Academy PCS,217,Achievement Preparatory Academy PCS - Wahler Place Elementary School,Charter,8,Elementary School with Pre-Kindergarten,100,17.91,95,18.85,1,165
1,District of Columbia Public Schools,252,Hyde-Addison Elementary School @ Meyer,DCPS,2,Elementary School with Pre-Kindergarten,100,70.05,80,87.57,5,166
156,Center City PCS,1103,Center City PCS - Brightwood,Charter,4,Elementary School with Pre-Kindergarten,55.72,50.19,90,55.77,3,167
1,District of Columbia Public Schools,254,Janney Elementary School,DCPS,3,Elementary School with Pre-Kindergarten,100,79.38,90,88.2,5,168
156,Center City PCS,1103,Center City PCS - Brightwood,Charter,4,Middle School,44.28,86.76,90,96.4,5,169
1,District of Columbia Public Schools,257,Ketcham Elementary School,DCPS,8,Elementary School with Pre-Kindergarten,100,46.55,95,49,3,170
156,Center City PCS,1104,Center City PCS - Capitol Hill,Charter,6,Elementary School with Pre-Kindergarten,49.67,36.11,85,42.48,3,171
1,District of Columbia Public Schools,258,Hearst Elementary School,DCPS,3,Elementary School with Pre-Kindergarten,100,63.89,85,75.17,4,172
156,Center City PCS,1104,Center City PCS - Capitol Hill,Charter,6,Middle School,50.33,30.8,95,32.42,2,173
1,District of Columbia Public Schools,259,Kimball Elementary School @ Davis,DCPS,7,Elementary School with Pre-Kindergarten,100,26.42,95,27.81,2,174
156,Center City PCS,1105,Center City PCS - Congress Heights,Charter,8,Elementary School with Pre-Kindergarten,50.61,52.47,85,61.73,4,175
1,District of Columbia Public Schools,261,Lafayette Elementary School,DCPS,4,Elementary School with Pre-Kindergarten,100,70.22,95,73.92,4,176
156,Center City PCS,1105,Center City PCS - Congress Heights,Charter,8,Middle School,49.39,56.31,85,66.25,4,177
1,District of Columbia Public Schools,262,Langdon Elementary School,DCPS,5,Elementary School with Pre-Kindergarten,100,65.39,90,72.65,4,178
156,Center City PCS,1106,Center City PCS - Petworth,Charter,4,Elementary School with Pre-Kindergarten,50.88,51.12,100,51.12,3,179
1,District of Columbia Public Schools,264,LaSalle-Backus Education Campus,DCPS,4,Elementary School with Pre-Kindergarten,47.19,55.15,100,55.15,3,180
156,Center City PCS,1106,Center City PCS - Petworth,Charter,4,Middle School,49.12,62.99,95,66.3,4,181
1,District of Columbia Public Schools,264,LaSalle-Backus Education Campus,DCPS,4,Middle School,52.81,55.31,100,55.31,3,182
156,Center City PCS,1107,Center City PCS - Shaw,Charter,6,Elementary School with Pre-Kindergarten,49.3,34.8,90,38.67,2,183
1,District of Columbia Public Schools,266,Leckie Education Campus,DCPS,8,Elementary School with Pre-Kindergarten,66.17,27.36,95,28.81,2,184
156,Center City PCS,1107,Center City PCS - Shaw,Charter,6,Middle School,50.7,49.6,85,58.36,3,185
156,Center City PCS,1108,Center City PCS - Trinidad,Charter,5,Elementary School with Pre-Kindergarten,56.68,9.96,95,10.48,1,186
156,Center City PCS,1108,Center City PCS - Trinidad,Charter,5,Middle School,43.32,29.15,85,34.29,2,187
158,Excel Academy PCS,1113,Excel Academy PCS,Charter,8,Elementary School with Pre-Kindergarten,68.59,16.2,95,17.06,1,188
158,Excel Academy PCS,1113,Excel Academy PCS,Charter,8,Middle School,31.41,34.14,95,35.93,2,189
160,Washington Yu Ying PCS,1117,Washington Yu Ying PCS,Charter,5,Elementary School with Pre-Kindergarten,100,86.63,95,91.19,5,190
163,National Collegiate Preparatory PCHS,1120,National Collegiate Preparatory PCHS,Charter,8,High School,100,16.73,85,19.69,1,191
